,titles,links,percents
68,"Valiente cree que ""no tiene sentido"" rechazar a alguien como observador por posicionarse, como ha pasado a Ruiz-Huertas",https://www.europapress.es/madrid/noticia-valiente-cree-no-tiene-sentido-rechazar-alguien-observador-posicionarse-pasado-ruiz-huertas-20180615133009.html,25%
69,La OEA aprueba una resolución para activar la Carta Democrática contra Maduro,https://www.europapress.es/internacional/noticia-oea-aprueba-resolucion-activar-carta-democratica-contra-maduro-20180606032432.html,25%
70,La campaña del candidato presidencial colombiano Petro denuncia el asesinato de un coordinador en Huila,https://www.europapress.es/internacional/noticia-campana-candidato-presidencial-colombiano-petro-denuncia-asesinato-coordinador-huila-20180527215122.html,35%
71,El candidato presidencial colombiano Petro advierte de un posible fraude electoral,https://www.europapress.es/internacional/noticia-candidato-presidencial-colombiano-petro-advierte-posible-fraude-electoral-20180520221300.html,35%
72,Maduro acude hoy casi en solitario a unas elecciones presidenciales ampliamente cuestionadas,https://www.europapress.es/internacional/noticia-maduro-acude-hoy-casi-solitario-elecciones-presidenciales-ampliamente-cuestionadas-20180520081726.html,35%
73,Maduro acude casi en solitario a unas elecciones presidenciales ampliamente cuestionadas,https://www.europapress.es/internacional/noticia-maduro-acude-casi-solitario-elecciones-presidenciales-ampliamente-cuestionadas-20180519090237.html,35%
74,"Ignacio González, en el Congreso: ""Jamás he pedido a nadie una comisión ni que inflase contratos""",https://www.europapress.es/nacional/noticia-ignacio-gonzalez-congreso-jamas-he-pedido-nadie-comision-inflase-contratos-20180410134728.html,35%
75,El mito de Chávez acude de nuevo al rescate de Maduro,https://www.europapress.es/internacional/noticia-mito-chavez-acude-nuevo-rescate-maduro-20180304090241.html,25%
76,El precandidato a la Presidencia de Colombia Gustavo Petro denuncia un posible fraude electoral,https://www.europapress.es/internacional/noticia-precandidato-presidencia-colombia-gustavo-petro-denuncia-posible-fraude-electoral-20180227044841.html,35%
77,Venezuela asegura que la fecha del 22 de abril para las presidenciales fue propuesta por la oposición,https://www.europapress.es/internacional/noticia-venezuela-asegura-fecha-22-abril-presidenciales-fue-propuesta-oposicion-20180212071958.html,35%
78,Las 10 principales citas electorales de 2018 en América Latina,https://www.europapress.es/internacional/noticia-10-principales-citas-electorales-2018-america-latina-20180106083911.html,45%
79,"Países latinoamericano piden una ""auditoría independiente"" de los resultados electorales en Venezuela",https://www.europapress.es/internacional/noticia-paises-latinoamericano-piden-auditoria-independiente-resultados-electorales-venezuela-20171017204042.html,35%
80,"Dictan la entrada a prisión del gobernador de La Guajira, acusado de fraude electoral",https://www.europapress.es/internacional/noticia-dictan-entrada-prision-gobernador-guajira-acusado-fraude-electoral-20170218035842.html,45%
81,La Fiscalía General colombiana acusa de fraude electoral al gobernador de La Guajira,https://www.europapress.es/internacional/noticia-fiscalia-general-colombiana-acusa-fraude-electoral-gobernador-guajira-20170128020159.html,35%
82,¿Qué han acordado el Gobierno de Colombia y las FARC?,https://www.europapress.es/internacional/noticia-acordado-gobierno-farc-20160825110421.html,35%
83,"El 25% de los municipios colombianos presentan ""riesgos electorales"" de cara al plebiscito por la paz",https://www.europapress.es/internacional/noticia-25-municipios-colombianos-presentan-riesgos-electorales-cara-plebiscito-paz-20160812235735.html,35%
84,Así ha sido el histórico camino hacia la paz en Colombia,https://www.europapress.es/internacional/noticia-asi-sido-historico-camino-paz-colombia-20160622185055.html,35%
85,Ángel Garrido comparece hoy en la Comisión de Deuda para hablar de las empresas del Grupo Canal en Iberoamérica,https://www.europapress.es/madrid/noticia-angel-garrido-comparece-hoy-comision-deuda-hablar-empresas-grupo-canal-iberoamerica-20160405080637.html,35%
86,¿Qué han acordado hasta ahora el Gobierno de Colombia y las FARC?,https://www.europapress.es/internacional/noticia-acordado-ahora-gobierno-colombia-farc-20151215175203.html,35%
88,Monedero se reafirma sobre la condena a Leopoldo López y dice que en Latinoamérica no se ha cuestionado el juicio,https://www.europapress.es/nacional/noticia-monedero-reafirma-condena-leopoldo-lopez-dice-latinoamerica-no-cuestionado-juicio-20150915114000.html,25%
89,UNASUR y OEA reiteran su oferta para observar las elecciones parlamentarias,https://www.europapress.es/internacional/noticia-unasur-oea-reiteran-oferta-observar-elecciones-parlamentarias-20150622233034.html,45%
90,"Rajoy dice que el fraude en la formación no da ""buena imagen de los gestores""",https://www.europapress.es/nacional/noticia-rajoy-ve-muy-negativo-fraude-formacion-andalucia-dice-no-transmite-buena-imagen-gestores-20150303153928.html,25%
