,titles,links,percents
471,La emigración venezolana a América Latina ha aumentado un 900% en los últimos dos años,https://www.europapress.es/internacional/noticia-emigracion-venezolana-america-latina-aumentado-900-ultimos-dos-anos-20180504183702.html,25%
472,ACNUR alerta de que Medellín está al límite de su capacidad por la afluencia masiva de desplazados internos,https://www.europapress.es/internacional/noticia-acnur-alerta-medellin-limite-capacidad-afluencia-masiva-desplazados-internos-20180425193408.html,35%
473,COMUNICADO: Cities of Service anuncia las 10 finalistas al premio inaugural Engaged Cities Award (1),https://www.europapress.es/comunicados/internacional-00907/noticia-comunicado-cities-of-service-anuncia-10-finalistas-premio-inaugural-engaged-cities-award-20180417170507.html,25%
474,El acusado de matar a su pareja fue separado de la víctima hace un mes y trasladado a Gerona cuando ella quiso separarse,https://www.europapress.es/murcia/noticia-acusado-matar-pareja-fue-separado-victima-hace-mes-trasladado-gerona-cuando-ella-quiso-separarse-20180412140206.html,25%
475,"La Policía de Honduras halla una plantación de coca en Gualaco, la segunda en un año",https://www.europapress.es/internacional/noticia-policia-honduras-halla-plantacion-coca-gualaco-segunda-ano-20180411034908.html,25%
476,"Las FARC temen el ""fracaso"" del proceso de paz tras la detención de Santrich",https://www.europapress.es/internacional/noticia-farc-temen-fracaso-proceso-paz-detencion-santrich-20180410161044.html,35%
477,"La ONU denuncia la ""violencia endémica"" en Colombia pese al acuerdo de paz",https://www.europapress.es/internacional/noticia-onu-denuncia-violencia-endemica-colombia-pese-acuerdo-paz-20180320184741.html,35%
478,Pastrana celebra la victoria electoral en el Congreso como un nuevo 'no' al acuerdo de paz con las FARC,https://www.europapress.es/internacional/noticia-pastrana-celebra-victoria-electoral-congreso-nuevo-no-acuerdo-paz-farc-20180320090244.html,25%
479,Colombia: Es hora de rescatar la voz de las víctimas,https://www.europapress.es/internacional/noticia-colombia-hora-rescatar-voz-victimas-20180310090335.html,35%
480,"Santos condena los ataques al partido de las FARC y pide a los colombianos dejar a un lado el ""odio""",https://www.europapress.es/internacional/noticia-santos-condena-ataques-partido-farc-pide-colombianos-dejar-lado-odio-20180209203956.html,25%
481,Un total de 50 ex guerrilleros de las FARC y personas cercanas han sido asesinados desde el acuerdo de paz,https://www.europapress.es/internacional/noticia-total-50-ex-guerrilleros-farc-personas-cercanas-sido-asesinados-acuerdo-paz-20180208215818.html,35%
482,Santos suspende las conversaciones de paz con el ELN tras los últimos atentados,https://www.europapress.es/internacional/noticia-santos-suspende-conversaciones-paz-eln-ultimos-atentados-20180129182428.html,25%
483,El Gobierno de Colombia presenta un plan de garantías de cara a las elecciones presidenciales de 2018,https://www.europapress.es/internacional/noticia-gobierno-colombia-presenta-plan-garantias-cara-elecciones-presidenciales-2018-20180123055933.html,25%
484,El candidato uribista alerta del riesgo de que el populismo se instale en Colombia como lo hizo en Venezuela,https://www.europapress.es/internacional/noticia-candidato-uribista-alerta-riesgo-populismo-instale-colombia-hizo-venezuela-20180118121131.html,35%
485,Guterres pide el fin de las acciones armadas en Colombia y el reinicio del diálogo entre el Gobierno y el ELN,https://www.europapress.es/internacional/noticia-guterres-pide-fin-acciones-armadas-colombia-reinicio-dialogo-gobierno-eln-20180115025902.html,35%
486,Guterres llega a Colombia para respaldar el proceso de paz con FARC y ELN,https://www.europapress.es/internacional/noticia-guterres-llega-colombia-respaldar-proceso-paz-farc-eln-20180113224419.html,35%
487,"El ELN pide al Gobierno ""no alterar el curso de las conversaciones de paz""",https://www.europapress.es/internacional/noticia-eln-pide-gobierno-no-alterar-curso-conversaciones-paz-20180111070227.html,25%
488,"CCOO denuncia que la interpretación restrictiva de las normas está ""acorralando"" a las personas inmigrantes",https://www.europapress.es/cantabria/noticia-ccoo-denuncia-interpretacion-restrictiva-normas-acorralando-personas-inmigrantes-20180108165736.html,25%
489,"Un sínodo sobre los jóvenes, desafío del Papa para 2018, tras un 2017 defensa de los refugiados y las mujeres",https://www.europapress.es/sociedad/noticia-sinodo-jovenes-desafio-papa-2018-2017-defensa-refugiados-mujeres-20171229103239.html,25%
490,Un total de 23 misioneros católicos fueron asesinados en todo el mundo durante el 2017,https://www.europapress.es/epsocial/derechos-humanos/noticia-total-23-misioneros-catolicos-fueron-asesinados-todo-mundo-2017-20171228154040.html,25%
491,"Guterres pide al Gobierno colombiano y al ELN que amplíen la tregua tras sus ""positivos"" resultados",https://www.europapress.es/internacional/noticia-guterres-pide-gobierno-colombiano-eln-amplien-tregua-positivos-resultados-20171214172839.html,35%
492,IU da plantón a la oposición venezolana en la ceremonia del Sájarov al ver instrumentalizado el premio,https://www.europapress.es/internacional/noticia-iu-da-planton-oposicion-venezolana-ceremonia-sajarov-ver-instrumentalizado-premio-20171213105924.html,35%
493,El presidente del Senado colombiano frustra la creación de circunscripciones especiales tras la polémica de los votos,https://www.europapress.es/internacional/noticia-presidente-senado-colombiano-frustra-creacion-circunscripciones-especiales-polemica-votos-20171207034131.html,25%
