,titles,links,percents
37,"Venezuela asegura que Merlano ""ha cantado más que Pavarotti"" y podría implicar a más políticos colombianos",https://www.europapress.es/internacional/noticia-venezuela-asegura-merlano-cantado-mas-pavarotti-podria-implicar-mas-politicos-colombianos-20200205013132.html,29%
38,El Gobierno pide la renuncia del jefe del servicio penitenciario por la fuga de una ex congresista,https://www.europapress.es/internacional/noticia-gobierno-colombia-pide-renuncia-jefe-servicio-penitenciario-fuga-ex-congresista-20191003140831.html,29%
39,La excongresista colombiana Aida Merlano se fuga tras saltar por una ventana durante una cita médica en Bogotá,https://www.europapress.es/internacional/noticia-excongresista-colombiana-aida-merlano-fuga-saltar-ventana-cita-medica-bogota-20191002033143.html,37%
43,La Procuraduría de Colombia recibió más de 290 quejas tras la jornada electoral,https://www.europapress.es/internacional/noticia-procuraduria-colombia-recibio-mas-290-quejas-jornada-electoral-20180313045754.html,37%
44,El mito de Chávez acude de nuevo al rescate de Maduro,https://www.europapress.es/internacional/noticia-mito-chavez-acude-nuevo-rescate-maduro-20180304090241.html,29%
45,"Santos destaca que las elecciones locales han sido ""las más pacíficas en décadas""",https://www.europapress.es/internacional/noticia-santos-destaca-elecciones-locales-sido-mas-pacificas-decadas-20151026010455.html,29%
46,Colombia cierra sus mesas electorales,https://www.europapress.es/internacional/noticia-colombia-cierra-mesas-electorales-20151025234538.html,29%
47,Policía se incauta de 1.300 millones de pesos para la supuesta compra de votos en Colombia,https://www.europapress.es/internacional/noticia-policia-incauta-1300-millones-pesos-supuesta-compra-votos-colombia-20151025022934.html,54%
48,Más del 99% de los accionistas de Talisman Energy votan a favor de la oferta de compra de Repsol,https://www.europapress.es/economia/noticia-economia-empresas-mas-99-accionistas-talisman-energy-votan-favor-oferta-compra-repsol-20150218192203.html,29%
49,"Uribe asegura que las FARC obligaron a los colombianos ""con un fusil en el cuello"" a votar por Santos",https://www.europapress.es/internacional/noticia-uribe-asegura-farc-obligaron-colombianos-fusil-cuello-votar-santos-20140626233502.html,37%
